Export der Kurvenform vom 13.04.2015 08:58:25:
----------------------------------------------
 U1= 231,7V ; U2= 230,2V ; U3= 233,5V ;
 I1= 134,0A ; I2= 117,2A ; I3= 130,6A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 210 ;  31 ; 131 ; 153 ; 112 ; 125 ;
 212 ;  33 ; 126 ; 154 ; 113 ; 126 ;
 215 ;  36 ; 120 ; 155 ; 114 ; 127 ;
 217 ;  39 ; 115 ; 156 ; 114 ; 128 ;
 220 ;  41 ; 110 ; 157 ; 115 ; 128 ;
 222 ;  44 ; 106 ; 157 ; 115 ; 129 ;
 223 ;  47 ; 102 ; 157 ; 116 ; 130 ;
 224 ;  50 ;  98 ; 157 ; 117 ; 131 ;
 224 ;  53 ;  93 ; 158 ; 118 ; 132 ;
 225 ;  58 ;  88 ; 159 ; 119 ; 132 ;
 225 ;  63 ;  83 ; 159 ; 120 ; 133 ;
 225 ;  69 ;  78 ; 160 ; 120 ; 133 ;
 225 ;  75 ;  74 ; 159 ; 121 ; 133 ;
 225 ;  80 ;  70 ; 158 ; 121 ; 133 ;
 225 ;  84 ;  67 ; 158 ; 122 ; 135 ;
 224 ;  89 ;  63 ; 157 ; 123 ; 136 ;
 224 ;  95 ;  57 ; 156 ; 124 ; 138 ;
 223 ; 100 ;  52 ; 155 ; 124 ; 139 ;
 223 ; 104 ;  48 ; 154 ; 125 ; 139 ;
 222 ; 109 ;  46 ; 153 ; 125 ; 140 ;
 220 ; 113 ;  43 ; 152 ; 126 ; 140 ;
 217 ; 117 ;  41 ; 151 ; 127 ; 141 ;
 215 ; 122 ;  38 ; 150 ; 128 ; 142 ;
 212 ; 127 ;  34 ; 150 ; 129 ; 143 ;
 210 ; 132 ;  31 ; 149 ; 130 ; 143 ;
 207 ; 137 ;  30 ; 148 ; 130 ; 144 ;
 205 ; 141 ;  29 ; 148 ; 131 ; 144 ;
 202 ; 145 ;  27 ; 147 ; 131 ; 145 ;
 199 ; 149 ;  26 ; 146 ; 132 ; 145 ;
 196 ; 154 ;  25 ; 145 ; 133 ; 146 ;
 191 ; 159 ;  25 ; 144 ; 134 ; 147 ;
 187 ; 164 ;  25 ; 143 ; 135 ; 147 ;
 181 ; 169 ;  25 ; 140 ; 136 ; 146 ;
 175 ; 173 ;  25 ; 140 ; 136 ; 146 ;
 169 ; 177 ;  25 ; 140 ; 136 ; 145 ;
 165 ; 180 ;  26 ; 139 ; 137 ; 144 ;
 160 ; 184 ;  26 ; 138 ; 138 ; 143 ;
 154 ; 189 ;  27 ; 137 ; 140 ; 143 ;
 149 ; 194 ;  27 ; 137 ; 141 ; 143 ;
 145 ; 198 ;  28 ; 136 ; 142 ; 142 ;
 140 ; 202 ;  29 ; 136 ; 142 ; 141 ;
 136 ; 204 ;  31 ; 135 ; 142 ; 140 ;
 131 ; 206 ;  34 ; 134 ; 142 ; 140 ;
 126 ; 209 ;  37 ; 133 ; 143 ; 139 ;
 121 ; 211 ;  40 ; 132 ; 144 ; 138 ;
 116 ; 214 ;  42 ; 131 ; 145 ; 138 ;
 111 ; 216 ;  45 ; 131 ; 145 ; 137 ;
 107 ; 218 ;  48 ; 130 ; 145 ; 136 ;
 103 ; 219 ;  51 ; 129 ; 146 ; 136 ;
  99 ; 219 ;  54 ; 129 ; 147 ; 135 ;
  95 ; 219 ;  58 ; 128 ; 147 ; 134 ;
  90 ; 220 ;  62 ; 127 ; 148 ; 132 ;
  85 ; 220 ;  68 ; 125 ; 148 ; 131 ;
  79 ; 220 ;  74 ; 124 ; 147 ; 131 ;
  74 ; 220 ;  79 ; 124 ; 147 ; 130 ;
  71 ; 219 ;  85 ; 124 ; 147 ; 130 ;
  68 ; 219 ;  88 ; 124 ; 146 ; 129 ;
  64 ; 219 ;  93 ; 122 ; 146 ; 128 ;
  60 ; 219 ;  99 ; 119 ; 145 ; 127 ;
  55 ; 218 ; 104 ; 118 ; 145 ; 126 ;
  50 ; 217 ; 109 ; 117 ; 144 ; 125 ;
  46 ; 216 ; 113 ; 117 ; 144 ; 125 ;
  43 ; 214 ; 117 ; 118 ; 143 ; 124 ;
  41 ; 212 ; 122 ; 117 ; 142 ; 123 ;
  39 ; 209 ; 127 ; 116 ; 141 ; 122 ;
  36 ; 206 ; 133 ; 115 ; 140 ; 121 ;
  33 ; 204 ; 138 ; 115 ; 140 ; 121 ;
  31 ; 201 ; 142 ; 114 ; 139 ; 120 ;
  29 ; 198 ; 146 ; 114 ; 139 ; 119 ;
  27 ; 196 ; 151 ; 114 ; 138 ; 118 ;
  27 ; 193 ; 154 ; 113 ; 137 ; 117 ;
  26 ; 189 ; 159 ; 112 ; 136 ; 117 ;
  26 ; 184 ; 164 ; 112 ; 135 ; 116 ;
  25 ; 178 ; 169 ; 111 ; 134 ; 115 ;
  25 ; 173 ; 175 ; 111 ; 133 ; 115 ;
  25 ; 167 ; 178 ; 112 ; 133 ; 115 ;
  26 ; 162 ; 182 ; 113 ; 133 ; 115 ;
  26 ; 158 ; 185 ; 113 ; 132 ; 113 ;
  26 ; 153 ; 190 ; 114 ; 131 ; 112 ;
  27 ; 148 ; 195 ; 115 ; 130 ; 110 ;
  27 ; 142 ; 200 ; 116 ; 130 ; 109 ;
  28 ; 138 ; 204 ; 116 ; 129 ; 109 ;
  30 ; 133 ; 207 ; 118 ; 129 ; 109 ;
  32 ; 129 ; 209 ; 119 ; 128 ; 108 ;
  35 ; 125 ; 211 ; 119 ; 127 ; 107 ;
  37 ; 120 ; 214 ; 120 ; 126 ; 106 ;
  40 ; 115 ; 217 ; 121 ; 125 ; 106 ;
  42 ; 109 ; 219 ; 121 ; 124 ; 105 ;
  45 ; 105 ; 221 ; 122 ; 123 ; 105 ;
  47 ; 101 ; 223 ; 123 ; 123 ; 104 ;
  50 ;  97 ; 224 ; 123 ; 122 ; 104 ;
  53 ;  93 ; 225 ; 124 ; 121 ; 103 ;
  57 ;  88 ; 226 ; 125 ; 120 ; 102 ;
  61 ;  83 ; 226 ; 127 ; 120 ; 102 ;
  66 ;  78 ; 226 ; 128 ; 119 ; 102 ;
  72 ;  73 ; 226 ; 130 ; 118 ; 102 ;
  78 ;  69 ; 226 ; 131 ; 118 ; 103 ;
  83 ;  65 ; 225 ; 130 ; 118 ; 104 ;
  88 ;  62 ; 225 ; 131 ; 117 ; 105 ;
  93 ;  58 ; 225 ; 133 ; 115 ; 105 ;
  98 ;  53 ; 224 ; 134 ; 114 ; 106 ;
 103 ;  48 ; 224 ; 134 ; 113 ; 106 ;
 108 ;  44 ; 223 ; 135 ; 112 ; 107 ;
 112 ;  41 ; 221 ; 135 ; 112 ; 108 ;
 117 ;  38 ; 218 ; 135 ; 112 ; 108 ;
 121 ;  36 ; 216 ; 137 ; 112 ; 109 ;
 126 ;  34 ; 213 ; 138 ; 111 ; 109 ;
 131 ;  31 ; 211 ; 138 ; 110 ; 110 ;
 137 ;  29 ; 208 ; 140 ; 110 ; 111 ;
 141 ;  27 ; 206 ; 140 ; 109 ; 112 ;
 146 ;  25 ; 203 ; 141 ; 109 ; 112 ;
 149 ;  24 ; 200 ; 141 ; 108 ; 113 ;
 153 ;  24 ; 197 ; 142 ; 108 ; 114 ;
 158 ;  23 ; 193 ; 143 ; 107 ; 115 ;
 163 ;  23 ; 187 ; 144 ; 107 ; 116 ;
 168 ;  23 ; 182 ; 146 ; 107 ; 117 ;
 173 ;  23 ; 176 ; 146 ; 107 ; 118 ;
 178 ;  23 ; 171 ; 146 ; 107 ; 118 ;
 181 ;  24 ; 166 ; 146 ; 108 ; 119 ;
 184 ;  24 ; 162 ; 147 ; 108 ; 120 ;
 188 ;  24 ; 157 ; 149 ; 108 ; 121 ;
 193 ;  25 ; 151 ; 151 ; 109 ; 122 ;
 198 ;  25 ; 146 ; 153 ; 109 ; 123 ;
 203 ;  26 ; 141 ; 153 ; 110 ; 123 ;
 206 ;  27 ; 137 ; 153 ; 111 ; 123 ;
 209 ;  30 ; 133 ; 153 ; 112 ; 124 ;
 211 ;  32 ; 129 ; 154 ; 113 ; 125 ;
 213 ;  35 ; 123 ; 154 ; 113 ; 126 ;
 216 ;  37 ; 118 ; 156 ; 114 ; 127 ;
 219 ;  40 ; 112 ; 156 ; 114 ; 128 ;
 221 ;  43 ; 108 ; 156 ; 115 ; 129 ;
 222 ;  45 ; 104 ; 157 ; 116 ; 130 ;
 223 ;  48 ; 100 ; 157 ; 116 ; 130 ;
 224 ;  51 ;  96 ; 157 ; 117 ; 131 ;
