Historische Daten	13.04.2015	08:51:37
		EMZ01 Station 5 Tel. 11 EMA01 Station 5 Trafo1 U klirr	EMZ01 Station 5 Tel. 11 EMA01 Station 5 Trafo1 Uklirr max
		%	%
13.04.2015	04:25:00	1,5	1,6
13.04.2015	04:30:00	1,5	1,6
13.04.2015	04:35:00	1,5	1,6
13.04.2015	04:40:00	1,5	1,5
13.04.2015	04:45:00	1,5	1,5
13.04.2015	04:50:00	1,5	1,5
13.04.2015	04:55:00	1,5	1,7
13.04.2015	05:00:00	1,5	1,6
13.04.2015	05:05:00	1,5	1,5
13.04.2015	05:10:00	1,4	1,5
13.04.2015	05:15:00	1,4	1,4
13.04.2015	05:20:00	1,4	1,4
13.04.2015	05:25:00	1,4	1,5
13.04.2015	05:30:00	1,3	1,4
13.04.2015	05:35:00	1,3	1,5
13.04.2015	05:40:00	1,3	1,4
13.04.2015	05:45:00	1,3	1,4
13.04.2015	05:50:00	1,4	1,5
13.04.2015	05:55:00	1,4	1,6
13.04.2015	06:00:00	1,3	1,5
13.04.2015	06:05:00	1,3	1,5
13.04.2015	06:10:00	1,3	1,5
13.04.2015	06:15:00	1,3	1,5
13.04.2015	06:20:00	1,3	1,5
13.04.2015	06:25:00	1,3	1,9
13.04.2015	06:30:00	1,4	1,7
13.04.2015	06:35:00	1,2	1,4
13.04.2015	06:40:00	1,3	1,8
13.04.2015	06:45:00	1,2	1,3
13.04.2015	06:50:00	1,2	1,8
13.04.2015	06:55:00	1,2	1,4
13.04.2015	07:00:00	1,1	1,6
13.04.2015	07:05:00	1	1,5
13.04.2015	07:10:00	1	1,6
13.04.2015	07:15:00	1	1,3
13.04.2015	07:20:00	1	1,5
13.04.2015	07:25:00	1,3	1,7
13.04.2015	07:30:00	1,3	1,7
13.04.2015	07:35:00	1,3	1,8
13.04.2015	07:40:00	1,2	1,7
13.04.2015	07:45:00	1,2	1,6
13.04.2015	07:50:00	1,2	1,7
13.04.2015	07:55:00	1,4	1,8
13.04.2015	08:00:00	1,4	1,8
13.04.2015	08:05:00	1,5	1,9
13.04.2015	08:10:00	1,5	1,8
13.04.2015	08:15:00	1,6	2
13.04.2015	08:20:00	1,5	1,9
13.04.2015	08:25:00	1,6	2,2
13.04.2015	08:30:00	1,6	1,8
13.04.2015	08:35:00	1,6	2
13.04.2015	08:40:00	1,6	2,1
13.04.2015	08:45:00		
13.04.2015	08:50:00		
13.04.2015	08:55:00		
13.04.2015	09:00:00		
13.04.2015	09:05:00		
13.04.2015	09:10:00		
13.04.2015	09:15:00		
13.04.2015	09:20:00		
13.04.2015	09:25:00		
13.04.2015	09:30:00		
13.04.2015	09:35:00		
13.04.2015	09:40:00		
13.04.2015	09:45:00		
13.04.2015	09:50:00		
13.04.2015	09:55:00		
13.04.2015	10:00:00		
13.04.2015	10:05:00		
13.04.2015	10:10:00		
13.04.2015	10:15:00		
13.04.2015	10:20:00		
13.04.2015	10:25:00		
13.04.2015	10:30:00		
13.04.2015	10:35:00		
13.04.2015	10:40:00		
13.04.2015	10:45:00		
13.04.2015	10:50:00		
13.04.2015	10:55:00		
13.04.2015	11:00:00		
13.04.2015	11:05:00		
13.04.2015	11:10:00		
13.04.2015	11:15:00		
13.04.2015	11:20:00		
13.04.2015	11:25:00		
13.04.2015	11:30:00		
13.04.2015	11:35:00		
13.04.2015	11:40:00		
13.04.2015	11:45:00		
13.04.2015	11:50:00		
13.04.2015	11:55:00		
13.04.2015	12:00:00		
13.04.2015	12:05:00		
13.04.2015	12:10:00		
13.04.2015	12:15:00		
13.04.2015	12:20:00		
13.04.2015	12:25:00		
13.04.2015	12:30:00		
13.04.2015	12:35:00		
13.04.2015	12:40:00		
13.04.2015	12:45:00		
13.04.2015	12:50:00		
13.04.2015	12:55:00		
13.04.2015	13:00:00		
13.04.2015	13:05:00		
13.04.2015	13:10:00		
13.04.2015	13:15:00		
13.04.2015	13:20:00		
13.04.2015	13:25:00		
13.04.2015	13:30:00		
13.04.2015	13:35:00		
