Export der Kurvenform vom 13.04.2015 08:46:54:
----------------------------------------------
 U1= 232,2V ; U2= 231,0V ; U3= 229,9V ;
 I1=  60,6A ; I2=  66,1A ; I3=  46,5A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
  54 ; 193 ; 136 ;  69 ; 169 ; 148 ;
  55 ; 195 ; 132 ;  75 ; 172 ; 147 ;
  57 ; 197 ; 128 ;  79 ; 175 ; 145 ;
  59 ; 199 ; 124 ;  80 ; 178 ; 144 ;
  62 ; 200 ; 121 ;  80 ; 181 ; 141 ;
  64 ; 202 ; 117 ;  80 ; 180 ; 141 ;
  66 ; 203 ; 114 ;  79 ; 183 ; 139 ;
  68 ; 204 ; 110 ;  77 ; 187 ; 135 ;
  71 ; 205 ; 106 ;  77 ; 189 ; 134 ;
  74 ; 205 ; 102 ;  77 ; 194 ; 130 ;
  78 ; 206 ;  99 ;  80 ; 197 ; 125 ;
  82 ; 206 ;  95 ;  89 ; 198 ; 121 ;
  86 ; 206 ;  91 ;  96 ; 200 ; 118 ;
  90 ; 206 ;  88 ;  96 ; 203 ; 116 ;
  94 ; 206 ;  84 ;  94 ; 206 ; 114 ;
  98 ; 206 ;  81 ;  91 ; 207 ; 111 ;
 101 ; 205 ;  78 ;  91 ; 209 ; 108 ;
 105 ; 205 ;  75 ;  91 ; 208 ; 106 ;
 108 ; 205 ;  71 ;  91 ; 206 ; 104 ;
 112 ; 204 ;  68 ;  92 ; 204 ; 101 ;
 116 ; 203 ;  65 ;  95 ; 200 ;  97 ;
 119 ; 202 ;  63 ;  97 ; 198 ;  96 ;
 123 ; 200 ;  61 ;  99 ; 198 ;  95 ;
 127 ; 198 ;  59 ; 103 ; 198 ;  94 ;
 131 ; 196 ;  57 ; 108 ; 197 ;  92 ;
 135 ; 194 ;  55 ; 111 ; 198 ;  91 ;
 138 ; 192 ;  54 ; 112 ; 197 ;  91 ;
 142 ; 189 ;  53 ; 113 ; 196 ;  89 ;
 146 ; 187 ;  52 ; 117 ; 194 ;  86 ;
 150 ; 185 ;  51 ; 124 ; 193 ;  82 ;
 154 ; 181 ;  51 ; 131 ; 194 ;  76 ;
 158 ; 177 ;  51 ; 136 ; 189 ;  75 ;
 161 ; 173 ;  50 ; 140 ; 184 ;  72 ;
 165 ; 169 ;  50 ; 141 ; 184 ;  69 ;
 168 ; 165 ;  50 ; 145 ; 183 ;  66 ;
 172 ; 161 ;  50 ; 150 ; 183 ;  64 ;
 175 ; 157 ;  50 ; 153 ; 182 ;  64 ;
 178 ; 154 ;  51 ; 156 ; 180 ;  64 ;
 182 ; 150 ;  51 ; 159 ; 179 ;  65 ;
 185 ; 147 ;  51 ; 163 ; 177 ;  67 ;
 188 ; 143 ;  52 ; 170 ; 172 ;  71 ;
 191 ; 139 ;  53 ; 175 ; 170 ;  75 ;
 193 ; 135 ;  55 ; 177 ; 168 ;  79 ;
 195 ; 132 ;  56 ; 177 ; 165 ;  84 ;
 197 ; 128 ;  59 ; 177 ; 163 ;  87 ;
 199 ; 124 ;  61 ; 179 ; 160 ;  87 ;
 201 ; 121 ;  63 ; 181 ; 157 ;  88 ;
 202 ; 118 ;  65 ; 182 ; 155 ;  88 ;
 204 ; 114 ;  67 ; 182 ; 151 ;  91 ;
 205 ; 110 ;  69 ; 183 ; 145 ;  91 ;
 206 ; 105 ;  72 ; 187 ; 141 ;  91 ;
 206 ; 102 ;  75 ; 190 ; 138 ;  93 ;
 206 ;  98 ;  78 ; 194 ; 134 ;  95 ;
 207 ;  94 ;  83 ; 198 ; 128 ; 101 ;
 207 ;  90 ;  88 ; 200 ; 125 ; 105 ;
 207 ;  87 ;  92 ; 204 ; 119 ; 105 ;
 207 ;  84 ;  96 ; 206 ; 117 ; 103 ;
 207 ;  81 ;  99 ; 207 ; 112 ; 104 ;
