Export der Kurvenform vom 13.04.2015 09:08:17:
----------------------------------------------
 U1= 232,2V ; U2= 231,2V ; U3= 234,2V ;
 I1= 351,4A ; I2= 345,0A ; I3= 281,8A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
  33 ; 127 ; 209 ; 101 ; 140 ; 143 ;
  36 ; 123 ; 212 ; 100 ; 139 ; 145 ;
  38 ; 118 ; 214 ; 100 ; 137 ; 147 ;
  40 ; 112 ; 217 ;  99 ; 136 ; 148 ;
  43 ; 107 ; 220 ;  99 ; 135 ; 149 ;
  45 ; 103 ; 222 ;  99 ; 134 ; 150 ;
  48 ;  98 ; 223 ; 100 ; 133 ; 150 ;
  51 ;  94 ; 225 ; 102 ; 132 ; 150 ;
  55 ;  89 ; 226 ; 103 ; 130 ; 150 ;
  58 ;  85 ; 226 ; 106 ; 128 ; 150 ;
  63 ;  80 ; 227 ; 108 ; 126 ; 149 ;
  67 ;  75 ; 227 ; 111 ; 124 ; 149 ;
  73 ;  70 ; 227 ; 113 ; 123 ; 149 ;
  79 ;  66 ; 226 ; 114 ; 122 ; 149 ;
  83 ;  63 ; 226 ; 116 ; 120 ; 149 ;
  88 ;  60 ; 225 ; 117 ; 117 ; 149 ;
  93 ;  56 ; 225 ; 119 ; 113 ; 149 ;
  99 ;  51 ; 224 ; 120 ; 111 ; 149 ;
 105 ;  45 ; 223 ; 121 ; 109 ; 148 ;
 109 ;  41 ; 222 ; 122 ; 108 ; 148 ;
 114 ;  38 ; 220 ; 122 ; 107 ; 148 ;
 118 ;  36 ; 218 ; 123 ; 105 ; 148 ;
 122 ;  34 ; 215 ; 124 ; 104 ; 149 ;
 127 ;  31 ; 213 ; 126 ; 102 ; 149 ;
 133 ;  29 ; 210 ; 128 ; 100 ; 149 ;
 138 ;  26 ; 208 ; 129 ;  99 ; 149 ;
 142 ;  24 ; 205 ; 129 ;  99 ; 148 ;
 147 ;  23 ; 202 ; 131 ;  99 ; 147 ;
 151 ;  21 ; 199 ; 132 ;  98 ; 146 ;
 155 ;  21 ; 195 ; 133 ;  98 ; 144 ;
 160 ;  20 ; 191 ; 135 ;  98 ; 141 ;
 165 ;  20 ; 186 ; 137 ;  98 ; 139 ;
 170 ;  20 ; 181 ; 138 ;  97 ; 138 ;
 175 ;  20 ; 175 ; 139 ;  97 ; 137 ;
 179 ;  20 ; 170 ; 140 ;  97 ; 136 ;
 182 ;  21 ; 166 ; 142 ;  96 ; 135 ;
 185 ;  21 ; 162 ; 145 ;  96 ; 133 ;
 189 ;  21 ; 156 ; 148 ;  97 ; 132 ;
 194 ;  22 ; 151 ; 151 ;  97 ; 131 ;
 199 ;  23 ; 145 ; 153 ;  97 ; 130 ;
 204 ;  23 ; 140 ; 155 ;  98 ; 130 ;
